files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.98  T=6.02 s (10.3 files/s 810.5 lines/s)"
30,C++,239,290,2392
1,JSON,0,0,907
27,C/C++ Header,60,7,712
2,XML,0,0,239
1,Linker Script,4,4,21
1,Markdown,0,0,1
62,SUM,303,301,4272
